time, reward, action, observation
110, -200.3329569219164, 1, [ -0.3329569   -0.32627714  -0.6017837  110.        ]
111, -200.07047889884532, 1, [ 7.0478901e-02 -3.3295691e-01 -3.2627714e-01  1.1100000e+02]
112, -200.38370582486888, 1, [ 3.8370582e-01  7.0478901e-02 -3.3295691e-01  1.1200000e+02]
113, -200.1444087149832, 1, [-1.4440872e-01  3.8370582e-01  7.0478901e-02  1.1300000e+02]
114, -200.24539230627016, 1, [ -0.24539231  -0.14440872   0.38370582 114.        ]
115, -200.2046434875421, 1, [ -0.20464349  -0.24539231  -0.14440872 115.        ]
116, -0.6992867435842163, 0, [ -0.69928676  -0.20464349  -0.24539231 116.        ]
117, -0.9650817980807262, 0, [ -0.9650818   -0.69928676  -0.20464349 117.        ]
118, -201.28217415769552, 1, [ -1.2821741   -0.9650818   -0.69928676 118.        ]
119, -1.0498146914288402, 0, [ -1.0498147  -1.2821741  -0.9650818 119.       ]
120, -200.748293869895, 1, [ -0.7482939  -1.0498147  -1.2821741 120.       ]
1, -200.04465324288452, 1, [0.04465324 0.         0.         1.        ]
2, -200.2508609335436, 1, [-0.25086093  0.04465324  0.          2.        ]
3, -0.5465771866249685, 0, [-0.5465772  -0.25086093  0.04465324  3.        ]
4, -1.782023335543581, 0, [-1.7820233  -0.5465772  -0.25086093  4.        ]
5, -202.26027472094512, 1, [-2.2602746 -1.7820233 -0.5465772  5.       ]
6, -201.79373108766376, 1, [-1.7937311 -2.2602746 -1.7820233  6.       ]
7, -202.4963706532236, 1, [-2.4963706 -1.7937311 -2.2602746  7.       ]
8, -201.78606941845683, 1, [-1.7860694 -2.4963706 -1.7937311  8.       ]
9, -2.0908766683303623, 0, [-2.0908766 -1.7860694 -2.4963706  9.       ]
10, -1.9563532168970508, 0, [-1.9563532 -2.0908766 -1.7860694 10.       ]
11, -202.04456146640385, 1, [-2.0445614 -1.9563532 -2.0908766 11.       ]
12, -1.7256325238380676, 0, [-1.7256325 -2.0445614 -1.9563532 12.       ]
13, -1.405013765993038, 0, [-1.4050138 -1.7256325 -2.0445614 13.       ]
14, -1.9169362298627588, 0, [-1.9169363 -1.4050138 -1.7256325 14.       ]
15, -201.06755965252464, 1, [-1.0675596 -1.9169363 -1.4050138 15.       ]
16, -0.3327951871071514, 0, [ 0.33279517 -1.0675596  -1.9169363  16.        ]
17, -200.470702278511, 1, [ 0.4707023   0.33279517 -1.0675596  17.        ]
18, -200.28049691248768, 1, [ 0.28049693  0.4707023   0.33279517 18.        ]
19, -200.1252510649406, 1, [ 0.12525107  0.28049693  0.4707023  19.        ]
20, -200.4072046024468, 1, [-0.4072046   0.12525107  0.28049693 20.        ]
21, -200.12204860704117, 1, [ 0.12204861 -0.4072046   0.12525107 21.        ]
22, -200.08424462243244, 1, [-0.08424462  0.12204861 -0.4072046  22.        ]
23, -200.12936760590486, 1, [-0.1293676  -0.08424462  0.12204861 23.        ]
24, -200.5125366679172, 1, [-0.51253664 -0.1293676  -0.08424462 24.        ]
25, -200.80487440083252, 1, [-0.8048744  -0.51253664 -0.1293676  25.        ]
26, -201.36173110979135, 1, [-1.361731   -0.8048744  -0.51253664 26.        ]
27, -200.60441654880094, 1, [-0.60441655 -1.361731   -0.8048744  27.        ]
28, -0.07560868661163844, 0, [-0.07560869 -0.60441655 -1.361731   28.        ]
29, -200.50405877056093, 1, [ 0.5040588  -0.07560869 -0.60441655 29.        ]
30, -200.5228184588754, 1, [ 0.52281845  0.5040588  -0.07560869 30.        ]
31, -0.1906244456755567, 0, [ 0.19062445  0.52281845  0.5040588  31.        ]
32, -0.2384733948854521, 0, [-0.2384734   0.19062445  0.52281845 32.        ]
33, -0.861867192585709, 0, [-0.8618672  -0.2384734   0.19062445 33.        ]
34, -1.3566026811534575, 0, [-1.3566027 -0.8618672 -0.2384734 34.       ]
35, -201.40633735017823, 1, [-1.4063374 -1.3566027 -0.8618672 35.       ]
36, -1.5960859433689325, 0, [-1.5960859 -1.4063374 -1.3566027 36.       ]
37, -202.06035930940837, 1, [-2.0603592 -1.5960859 -1.4063374 37.       ]
38, -2.835200966050487, 0, [-2.835201  -2.0603592 -1.5960859 38.       ]
39, -2.628045516963963, 0, [-2.6280456 -2.835201  -2.0603592 39.       ]
40, -202.51002997052174, 1, [-2.51003   -2.6280456 -2.835201  40.       ]
41, -2.9426644271797144, 0, [-2.9426644 -2.51003   -2.6280456 41.       ]
42, -202.37239646560872, 1, [-2.3723965 -2.9426644 -2.51003   42.       ]
43, -201.1979340574817, 1, [-1.197934  -2.3723965 -2.9426644 43.       ]
44, -0.9853762822206875, 0, [-0.9853763 -1.197934  -2.3723965 44.       ]
45, -200.89796775714925, 1, [-0.89796776 -0.9853763  -1.197934   45.        ]
46, -201.05633382896139, 1, [-1.0563338  -0.89796776 -0.9853763  46.        ]
47, -2.0635364235748117, 0, [-2.0635364  -1.0563338  -0.89796776 47.        ]
48, -2.5018351446363494, 0, [-2.501835  -2.0635364 -1.0563338 48.       ]
49, -202.1833912761418, 1, [-2.1833913 -2.501835  -2.0635364 49.       ]
50, -1.8929152591998608, 0, [-1.8929152 -2.1833913 -2.501835  50.       ]
51, -201.91972839123997, 1, [-1.9197284 -1.8929152 -2.1833913 51.       ]
52, -201.38946986826954, 1, [-1.3894699 -1.9197284 -1.8929152 52.       ]
53, -201.3519620004148, 1, [-1.351962  -1.3894699 -1.9197284 53.       ]
54, -1.3934073103793898, 0, [-1.3934073 -1.351962  -1.3894699 54.       ]
55, -1.9806939544418207, 0, [-1.9806939 -1.3934073 -1.351962  55.       ]
56, -3.058574649795863, 0, [-3.0585747 -1.9806939 -1.3934073 56.       ]
57, -202.07389768943517, 1, [-2.0738976 -3.0585747 -1.9806939 57.       ]
58, -201.83807809773705, 1, [-1.8380781 -2.0738976 -3.0585747 58.       ]
59, -201.36041428924955, 1, [-1.3604143 -1.8380781 -2.0738976 59.       ]
60, -201.0832170109953, 1, [-1.083217  -1.3604143 -1.8380781 60.       ]
61, -1.0820317897729876, 0, [-1.0820318 -1.083217  -1.3604143 61.       ]
62, -201.16269755318234, 1, [-1.1626976 -1.0820318 -1.083217  62.       ]
63, -0.9121888681870491, 0, [-0.9121889 -1.1626976 -1.0820318 63.       ]
64, -200.87709106194484, 1, [-0.87709105 -0.9121889  -1.1626976  64.        ]
65, -200.80686266712055, 1, [-0.80686265 -0.87709105 -0.9121889  65.        ]
66, -0.7395691726638806, 0, [-0.7395692  -0.80686265 -0.87709105 66.        ]
